ds,y,,,
2015-01-13,18,,,
2015-01-14,17,,,
2015-01-15,,,,
2015-01-16,25,,,
2015-01-17,34,,,
2015-01-18,,,,
2015-01-19,,,,
2015-01-20,11,,,
2015-01-21,14.5,,,
2015-01-22,19,,,
2015-01-23,24,,,
2015-01-24,34,,,
2015-01-25,,,,
2015-01-26,,,,
2015-01-27,16,,,
2015-01-28,13.5,,,
2015-01-29,16,,,
2015-01-30,24,,,
2015-01-31,35,,,
2015-02-01,16,,,
2015-02-02,,,,
2015-02-03,15,,,
2015-02-04,16,,,
2015-02-05,16,,,
2015-02-06,18,,,
2015-02-07,31.5,,,
2015-02-08,,,,
2015-02-09,,,,
2015-02-10,14.5,,,
2015-02-11,14,,,
2015-02-12,14,,,
2015-02-13,24.5,,,
2015-02-14,37,,,
2015-02-15,,,,
2015-02-16,,,,
2015-02-17,14,,,
2015-02-18,13.5,,,
2015-02-19,13,,,
2015-02-20,22.5,,,
2015-02-21,36,,,
2015-02-22,,,,
2015-02-23,,,,
2015-02-24,13,,,
2015-02-25,15.5,,,
2015-02-26,18,,,
2015-02-27,24,,,
2015-02-28,36,,,
2015-03-01,,,,
2015-03-02,,,,
2015-03-03,13.5,,,
2015-03-04,15,,,
2015-03-05,19,,,
2015-03-06,23,,,
2015-03-07,32,,,
2015-03-08,,,,
2015-03-09,,,,
2015-03-10,15,,,
2015-03-11,15,,,
2015-03-12,16,,,
2015-03-13,24,,,
2015-03-14,33.2,,,
2015-03-15,,,,
2015-03-16,,,,
2015-03-17,17,,,
2015-03-18,16.5,,,
2015-03-19,17,,,
2015-03-20,26,,,
2015-03-21,32,,,
2015-03-22,,,,
2015-03-23,,,,
2015-03-24,15.5,,,
2015-03-25,18.5,,,
2015-03-26,18.5,,,
2015-03-27,25.5,,,
2015-03-28,31,,,
2015-03-29,,,,
2015-03-30,,,,
2015-03-31,18.5,,,
2015-04-01,16,,,
2015-04-02,16,,,
2015-04-03,27.5,,,
2015-04-04,32,,,
2015-04-05,,,,
2015-04-06,,,,
2015-04-07,13,,,
2015-04-08,17.5,,,
2015-04-09,19,,,
2015-04-10,25,,,
2015-04-11,29.5,,,
2015-04-12,15,,,
2015-04-13,16,,,
2015-04-14,15,,,
2015-04-15,16,,,
2015-04-16,14,,,
2015-04-17,24,,,
2015-04-18,27.5,,,
2015-04-19,,,,
2015-04-20,,,,
2015-04-21,14,,,
2015-04-22,16,,,
2015-04-23,17,,,
2015-04-24,25,,,
2015-04-25,34,,,
2015-04-26,,,,
2015-04-27,,,,
2015-04-28,15,,,
2015-04-29,18,,,
2015-04-30,16,,,
2015-05-01,,,,
2015-05-02,42,,,
2015-05-03,,,,
2015-05-04,,,,
2015-05-05,15,,,
2015-05-06,14,,,
2015-05-07,17,,,
2015-05-08,25,,,
2015-05-09,32,,,
2015-05-10,,,,
2015-05-11,,,,
2015-05-12,16,,,
2015-05-13,15,,,
2015-05-14,21,,,
2015-05-15,28,,,
2015-05-16,35,,,
2015-05-17,,,,
2015-05-18,,,,
2015-05-19,17,,,
2015-05-20,15,,,
2015-05-21,17.5,,,
2015-05-22,25,,,
2015-05-23,38,,,
2015-05-24,,,,
2015-05-25,,,,
2015-05-26,16,,,
2015-05-27,16,,,
2015-05-28,17.5,,,
2015-05-29,29,,,
2015-05-30,30.5,,,
2015-05-31,,,,
2015-06-01,,,,
2015-06-02,14,,,
2015-06-03,14,,,
2015-06-04,22.5,,,
2015-06-05,23,,,
2015-06-06,32,,,
2015-06-07,,,,
2015-06-08,,,,
2015-06-09,19,,,
2015-06-10,18.5,,,
2015-06-11,21,,,
2015-06-12,26,,,
2015-06-13,27,,,
2015-06-14,,,,
2015-06-15,,,,
2015-06-16,20,,,
2015-06-17,18,,,
2015-06-18,20,,,
2015-06-19,28,,,
2015-06-20,31,,,
2015-06-21,,,,
2015-06-22,,,,
2015-06-23,18,,,
2015-06-24,13.5,,,
2015-06-25,18,,,
2015-06-26,25,,,
2015-06-27,30,,,
2015-06-28,,,,
2015-06-29,,,,
2015-06-30,,,,
2015-07-01,20,,,
2015-07-02,19,,,
2015-07-03,37.5,,,
2015-07-04,22,,,
2015-07-05,,,,
2015-07-06,,,,
2015-07-07,15,,,
2015-07-08,16,,,
2015-07-09,23,,,
2015-07-10,29.5,,,
2015-07-11,33.5,,,
2015-07-12,,,,
2015-07-13,,,,
2015-07-14,19.5,,,
2015-07-15,16,,,
2015-07-16,18,,,
2015-07-17,27,,,
2015-07-18,29,,,
2015-07-19,,,,
2015-07-20,,,,
2015-07-21,16,,,
2015-07-22,20,,,
2015-07-23,19,,,
2015-07-24,25,,,
2015-07-25,35,,,
2015-07-26,,,,
2015-07-27,,,,
2015-07-28,17,,,
2015-07-29,18,,,
2015-07-30,19,,,
2015-07-31,30.25,,,
2015-08-01,37.5,,,
2015-08-02,,,,
2015-08-03,,,,
2015-08-04,,,,
2015-08-05,,,,
2015-08-06,,,,
2015-08-07,,,,
2015-08-08,,,,
2015-08-09,,,,
2015-08-10,,,,
2015-08-11,20,,,
2015-08-12,23,,,
2015-08-13,20,,,
2015-08-14,29,,,
2015-08-15,31.5,,,
2015-08-16,,,,
2015-08-17,,,,
2015-08-18,18,,,
2015-08-19,16,,,
2015-08-20,20,,,
2015-08-21,33,,,
2015-08-22,37,,,
2015-08-23,,,,
2015-08-24,,,,
2015-08-25,16,,,
2015-08-26,17,,,
2015-08-27,18.5,,,
2015-08-28,29,,,
2015-08-29,35.5,,,
2015-08-30,,,,
2015-08-31,,,,
2015-09-01,16,,,
2015-09-02,14.5,,,
2015-09-03,17,,,
2015-09-04,27.5,,,
2015-09-05,34,,,
2015-09-06,,,,
2015-09-07,,,,
2015-09-08,8,,,
2015-09-09,17,,,
2015-09-10,14,,,
2015-09-11,23,,,
2015-09-12,30,,,
2015-09-13,,,,
2015-09-14,,,,
2015-09-15,15,,,
2015-09-16,14,,,
2015-09-17,20,,,
2015-09-18,25.5,,,
2015-09-19,29,,,
2015-09-20,,,,
2015-09-21,,,,
2015-09-22,13,,,
2015-09-23,17,,,
2015-09-24,18,,,
2015-09-25,24,,,
2015-09-26,36,,,
2015-09-27,,,,
2015-09-28,,,,
2015-09-29,15,,,
2015-09-30,14,,,
2015-10-01,16,,,
2015-10-02,25,,,
2015-10-03,27,,,
2015-10-04,,,,
2015-10-05,,,,
2015-10-06,14.5,,,
2015-10-07,14.5,,,
2015-10-08,16,,,
2015-10-09,24,,,
2015-10-10,35,,,
2015-10-11,,,,
2015-10-12,,,,
2015-10-13,14,,,
2015-10-14,15.5,,,
2015-10-15,14,,,
2015-10-16,25.5,,,
2015-10-17,35,,,
2015-10-18,,,,
2015-10-19,,,,
2015-10-20,15.5,,,
2015-10-21,15,,,
2015-10-22,16,,,
2015-10-23,24.5,,,
2015-10-24,39,,,
2015-10-25,,,,
2015-10-26,,,,
2015-10-27,13.5,,,
2015-10-28,14,,,
2015-10-29,16,,,
2015-10-30,28,,,
2015-10-31,32.5,,,
2015-11-01,,,,
2015-11-02,,,,
2015-11-03,13.5,,,
2015-11-04,15.5,,,
2015-11-05,16,,,
2015-11-06,27,,,
2015-11-07,29.5,,,
2015-11-08,,,,
2015-11-09,,,,
2015-11-10,14,,,
2015-11-11,21,,,
2015-11-12,15.5,,,
2015-11-13,23,,,
2015-11-14,32.5,,,
2015-11-15,,,,
2015-11-16,,,,
2015-11-17,17.5,,,
2015-11-18,13,,,
2015-11-19,16,,,
2015-11-20,21,,,
2015-11-21,34,,,
2015-11-22,,,,
2015-11-23,,,,
2015-11-24,21.5,,,
2015-11-25,95,,,
2015-11-26,,,,
2015-11-27,,,,
2015-11-28,,,,
2015-11-29,,,,
2015-11-30,,,,
2015-12-01,15,,,
2015-12-02,14,,,
2015-12-03,15,,,
2015-12-04,24.5,,,
2015-12-05,28,,,
2015-12-06,,,,
