id,DS,AM Pizza Rack,PM Pizza Racks,gf,vegan,vgf,sales,pizza,notes,weather
0,2015-01-13,18,19,0,0,0,11204.5,“needs logging”,“none recorded”,“none recorded”
1,2015-01-14,17,16,0,0,0,9749.4,“needs logging”,“none recorded”,“none recorded”
2,2015-01-15,0,0,0,0,0,10521,“needs logging”,“none recorded”,“none recorded”
3,2015-01-16,25,25,0,0,0,13990.75,“needs logging”,“none recorded”,“none recorded”
4,2015-01-17,34,24,0,0,0,17441.45,“needs logging”,“none recorded”,“none recorded”
5,2015-01-18,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
6,2015-01-19,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
7,2015-01-20,11,13,0,0,0,7197,“needs logging”,“none recorded”,“none recorded”
8,2015-01-21,14.5,14.5,0,0,0,8355.7,“needs logging”,“none recorded”,“none recorded”
9,2015-01-22,19,18.5,0,0,0,10939,“needs logging”,“none recorded”,“none recorded”
10,2015-01-23,24,18,0,0,0,11392.25,“needs logging”,“none recorded”,“none recorded”
11,2015-01-24,34,26,0,0,0,17440.35,“needs logging”,“none recorded”,“none recorded”
12,2015-01-25,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
13,2015-01-26,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
14,2015-01-27,16,12,0,0,0,8390,“needs logging”,“none recorded”,“none recorded”
15,2015-01-28,13.5,13.5,0,0,0,7917,“needs logging”,“none recorded”,“none recorded”
16,2015-01-29,16,14,0,0,0,9405.7,“needs logging”,“none recorded”,“none recorded”
17,2015-01-30,24,22.75,0,0,0,12834.5,“needs logging”,“none recorded”,“none recorded”
18,2015-01-31,35,29,0,0,0,18523.25,“needs logging”,“none recorded”,“none recorded”
19,2015-02-01,16,0,0,0,0,8194.31,“needs logging”,“none recorded”,“none recorded”
20,2015-02-02,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
21,2015-02-03,15,14,0,0,0,8596.5,“needs logging”,“none recorded”,“none recorded”
22,2015-02-04,16,8,0,0,0,6006.54,“needs logging”,“none recorded”,“none recorded”
23,2015-02-05,16,15.5,0,0,0,9079.35,“needs logging”,“none recorded”,“none recorded”
24,2015-02-06,18,17,0,0,0,9357.25,“needs logging”,“none recorded”,“none recorded”
25,2015-02-07,31.5,23,0,0,0,18523.25,“needs logging”,“none recorded”,“none recorded”
26,2015-02-08,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
27,2015-02-09,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
28,2015-02-10,14.5,13,0,0,0,8324.43,“needs logging”,“none recorded”,“none recorded”
29,2015-02-11,14,15,0,0,0,8527.6,“needs logging”,“none recorded”,“none recorded”
30,2015-02-12,14,14,0,0,0,8807,“needs logging”,“none recorded”,“none recorded”
31,2015-02-13,24.5,23,0,0,0,13558.25,“needs logging”,“none recorded”,“none recorded”
32,2015-02-14,37,29,0,0,0,21514.85,“needs logging”,“none recorded”,“none recorded”
33,2015-02-15,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
34,2015-02-16,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
35,2015-02-17,14,11.5,0,0,0,7599.96,“needs logging”,“none recorded”,“none recorded”
36,2015-02-18,13.5,16.5,0,0,0,3661,“needs logging”,“none recorded”,“none recorded”
37,2015-02-19,13,17.5,0,0,0,8470.25,“needs logging”,“none recorded”,“none recorded”
38,2015-02-20,22.5,23.75,0,0,0,14237.75,“needs logging”,“none recorded”,“none recorded”
39,2015-02-21,36,24.5,0,0,0,17044.25,“needs logging”,“none recorded”,“none recorded”
40,2015-02-22,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
41,2015-02-23,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
42,2015-02-24,13,17.5,0,0,0,6963.8,“needs logging”,“none recorded”,“none recorded”
43,2015-02-25,15.5,15,0,0,0,,“needs logging”,“none recorded”,“none recorded”
44,2015-02-26,18,18,0,0,0,10175.5,“needs logging”,“none recorded”,“none recorded”
45,2015-02-27,24,25,0,0,0,13897.25,“needs logging”,“none recorded”,“none recorded”
46,2015-02-28,36,27.5,0,0,0,18323.5,“needs logging”,“none recorded”,“none recorded”
47,2015-03-01,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
48,2015-03-02,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
49,2015-03-03,13.5,14,0,0,0,8628.65,“needs logging”,“none recorded”,“none recorded”
50,2015-03-04,15,14.5,0,0,0,9186,“needs logging”,“none recorded”,“none recorded”
51,2015-03-05,19,15.5,0,0,0,11060.75,“needs logging”,“none recorded”,“none recorded”
52,2015-03-06,23,28,0,0,0,14132.03,“needs logging”,“none recorded”,“none recorded”
53,2015-03-07,32,22.5,0,0,0,16278.1,“needs logging”,“none recorded”,“none recorded”
54,2015-03-08,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
55,2015-03-09,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
56,2015-03-10,15,14,0,0,0,8507.25,“needs logging”,“none recorded”,“none recorded”
57,2015-03-11,15,18.5,0,0,0,9186.27,“needs logging”,“none recorded”,“none recorded”
58,2015-03-12,16,20,0,0,0,11985.21,“needs logging”,“none recorded”,“none recorded”
59,2015-03-13,24,25.25,0,0,0,13724.6,“needs logging”,“none recorded”,“none recorded”
60,2015-03-14,33.2,26,0,0,0,18373.55,“needs logging”,“none recorded”,“none recorded”
61,2015-03-15,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
62,2015-03-16,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
63,2015-03-17,17,16,0,0,0,9384.75,“needs logging”,“none recorded”,“none recorded”
64,2015-03-18,16.5,18.5,0,0,0,11546.8,“needs logging”,“none recorded”,“none recorded”
65,2015-03-19,17,21.5,0,0,0,13301.75,“needs logging”,“none recorded”,“none recorded”
66,2015-03-20,26,28,0,0,0,14653.25,“needs logging”,“none recorded”,“none recorded”
67,2015-03-21,32,24,0,0,0,17441.75,“needs logging”,“none recorded”,“none recorded”
68,2015-03-22,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
69,2015-03-23,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
70,2015-03-24,15.5,14.5,0,0,0,8760.67,“needs logging”,“none recorded”,“none recorded”
71,2015-03-25,18.5,19.5,0,0,0,,“needs logging”,“none recorded”,“none recorded”
72,2015-03-26,18.5,21,0,0,0,12316.57,“needs logging”,“none recorded”,“none recorded”
73,2015-03-27,25.5,24.5,0,0,0,15100,“needs logging”,“none recorded”,“none recorded”
74,2015-03-28,31,23,0,0,0,17025.61,“needs logging”,“none recorded”,“none recorded”
75,2015-03-29,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
76,2015-03-30,0,0,0,0,0,,“needs logging”,“none recorded”,“none recorded”
77,2015-03-31,18.5,19,0,0,0,10570.25,“needs logging”,“none recorded”,“none recorded”
78,2015-04-01,16,17.5,0,0,0,10500,“needs logging”,“none recorded”,“none recorded”
79,2015-04-02,16,16,0,0,0,10492.66,“needs logging”,“none recorded”,“none recorded”
